,종목,시가총액,티커
188,광동제약,297750433680,009290
189,광명전기,86458541925,017040
190,광전자,118784714150,017900
191,광주신세계,253600000000,037710
192,교보증권,362058457600,030610
193,교촌에프앤비,242080812600,339770
194,국도화학,402324004400,007690
195,국동,56240526790,005320
196,국보,69140658509,001140
197,국제약품,81790353450,002720
198,그린케미칼,274800000000,083420
199,극동유화,123089052600,014530
200,금강공업,148699839990,014280
201,금강공업우,7019512500,014285
202,금비,55100000000,008870
203,금양,835920532800,001570
204,금호건설,269022171600,002990
205,금호건설우,5859933300,002995
206,금호석유,3957432120000,011780
207,금호석유우,263043282000,011785
208,금호에이치티,198979870000,214330
209,금호전기,28380816730,001210
210,금호타이어,901997301180,073240
211,기신정기,97528000000,092440
212,기아,27645780265400,000270
213,기업은행,7383461823040,024110
214,까뮤이앤씨,77661921600,013700
215,깨끗한나라,108184213165,004540
216,깨끗한나라우,6481032000,004545
217,남광토건,83153458440,001260
218,남선알미늄,220725243900,008350
219,남선알미우,6357928500,008355
220,남성,65906131200,004270
221,남양유업,265320000000,003920
222,남양유업우,34332372000,003925
223,남해화학,451580682870,025860
224,넥센,206144311450,005720
225,넥센우,10333722000,005725
226,넥센타이어,715905538410,002350
227,넥센타이어1우B,18362500000,002355
228,넷마블,3812037813700,251270
229,노루페인트,155600000000,090350
230,노루페인트우,7433172300,090355
231,노루홀딩스,146867218550,000320
232,노루홀딩스우,5577501100,000325
233,녹십자,1384854753000,006280
234,녹십자홀딩스,728937255000,005250
235,녹십자홀딩스2우,33120508500,005257
236,농심,1745718254000,004370
237,농심홀딩스,279658737000,072710
238,다스코,93333030780,058730
239,다올투자증권,214115026600,030210
240,다우기술,780679135800,023590
241,다이나믹디자인,91431107400,145210
242,대교,191428441000,019680
243,대교우B,32540208250,019685
244,대구백화점,108757190550,006370
245,대덕,204696506000,008060
246,대덕1우,8910823950,00806K
247,대덕전자,1220598047500,353200
248,대덕전자1우,20955190000,35320K
249,대동,242913393100,000490
250,대동전자,116443961700,008110
251,대림B&Co,63187789600,005750
252,대림통상,48263250000,006570
253,대상,724143722500,001680
254,대상우,21101434200,001685
255,대상홀딩스,260730273600,084690
256,대상홀딩스우,8961258420,084695
257,대성산업,182072798950,128820
258,대성에너지,343750000000,117580
259,대성홀딩스,1491492849300,016710
260,대신증권,710827600000,003540
261,대신증권2우B,131000000000,003547
262,대신증권우,352300000000,003545
263,대양금속,103858792440,009190
264,대영포장,144164750170,014160
265,대우건설,1735224513650,047040
266,대우부품,76234200000,009320
267,대우조선해양,2027793644100,042660
268,대웅,1107604719000,003090
269,대웅제약,1732192962500,069620
270,대원강업,158720000000,000430
271,대원전선,81319923420,006340
272,대원전선우,6172926000,006345
273,대원제약,341840383400,003220
274,대원화성,111166464640,024890
275,대유에이텍,73022614250,002880
276,대유플러스,100065986098,000300
277,대창,108457193810,012800
278,대창단조,158004431900,015230
279,대한방직,272950000000,001070
280,대한유화,776750000000,006650
281,대한전선,1792041132960,001440
282,대한제강,300690154800,084010
283,대한제당,230071727700,001790
284,대한제당우,15428968800,001795
285,대한제분,217165000000,001130
286,대한항공,8137676608100,003490
287,대한항공우,29269421900,003495
288,대한해운,647930243800,005880
289,대한화섬,130808000000,003830
290,대현,89671677750,016090
291,대호에이엘,68904662675,069460
292,더블유게임즈,854414343000,192080
293,더존비즈온,888696432000,012510
294,덕성,72676800000,004830
295,덕성우,8922720000,004835
296,덕양산업,73271205000,024900
297,덴티움,905430294000,145720
298,도화엔지니어링,270434400000,002150
299,동국제강,1078389928100,001230
300,동남합성,193496000000,023450
301,동방,100500849770,004140
302,동방아그로,84428977400,007590
303,동부건설,184139322500,005960
304,동부건설우,5282128800,005965
305,동서,1949135000000,026960
306,동성제약,182706790000,002210
307,동성케미컬,236523105280,102260
308,동아쏘시오홀딩스,606956082800,000640
309,동아에스티,417258977200,170900
310,동아지질,189710721000,028100
311,동아타이어,158616323250,282690
312,동양,226749859850,001520
313,동양2우B,3949683200,001527
314,동양고속,38945403050,084670
315,동양생명,800338581600,082640
316,동양우,3768159100,001525
317,동양철관,118885290000,008970
318,동양피스톤,54385739800,092780
319,동원F&B,536418236000,049770
320,동원금속,42921028494,018500
321,동원산업,880795019500,006040
322,동원수산,39557342500,030720
323,동원시스템즈,1303158125900,014820
324,동원시스템즈우,7395108000,014825
325,동일고무벨트,81454000000,163560
326,동일산업,423200017500,004890
327,동일제강,45574308200,002690
328,동화약품,243562418400,000020
329,두산,1336778251500,000150
330,두산2우B,72871900800,000157
331,두산밥캣,2942313022100,241560
332,두산에너빌리티,8680989248800,034020
333,두산우,200622392400,000155
334,두산퓨얼셀,1738858425300,336260
335,두산퓨얼셀1우,119342306000,33626K
336,두산퓨얼셀2우B,33147930000,33626L
337,두올,77706698000,016740
338,드림텍,724340342750,192650
339,디씨엠,156180000000,024090
340,디아이,132129013075,003160
341,디아이씨,151665419100,092200
342,디앤디플랫폼리츠,222180000000,377190
343,디와이,141336429210,013570
344,디와이파워,107104567600,210540
345,락앤락,323792863800,115390
346,롯데관광개발,730559775100,032350
347,롯데렌탈,1108180405750,089860
348,롯데리츠,1144383443640,330590
349,롯데손해보험,445332619200,000400
350,롯데쇼핑,2520528070500,023530
351,롯데정밀화학,1524780000000,004000
352,롯데정보통신,357964695750,286940
353,롯데제과,1217060046000,280360
354,롯데지주,4112442090400,004990
355,롯데지주우,37863341000,00499K
356,롯데칠성,1336159296000,005300
357,롯데칠성우,51790708000,005305
358,롯데케미칼,5569755587500,011170
359,롯데하이마트,295096400000,071840
360,마니커,77483698160,027740
361,마스턴프리미어리츠,93561600000,357430
362,만호제강,105825000000,001080
363,맥쿼리인프라,4777177454600,088980
364,맵스리얼티1,383405787030,094800
365,메리츠금융지주,2659872488700,138040
366,메리츠증권,2207001497550,008560
367,메리츠화재,3225748050000,000060
368,메타랩스,79321436376,090370
369,명문제약,82167358680,017180
370,명신산업,847392647950,009900
371,모나리자,104045220475,012690
372,모나미,58865111305,005360
373,모두투어리츠,34985863050,204210
374,모토닉,250140000000,009680
375,무림P&P,257269336500,009580
376,무림페이퍼,101110623300,009200
377,무학,144780000000,033920
378,문배철강,83756817925,008420
379,미래산업,37619459150,025560
380,미래아이앤지,45868496996,007120
381,미래에셋글로벌리츠,112898100000,396690
382,미래에셋맵스리츠,72360000000,357250
383,미래에셋생명,472633224630,085620
384,미래에셋증권,3833421221840,006800
385,미래에셋증권2우B,519400000000,00680K
386,미래에셋증권우,57569817500,006805
387,미원상사,837445000000,002840
388,미원에스씨,887400000000,268280
389,미원홀딩스,295800000000,107590
390,미원화학,132835787200,134380
391,미창석유,128735728000,003650
392,바다로19호,49552013040,155900
393,방림,223418395200,003610
394,백광산업,179449035965,001340
395,백산,207820900000,035150
396,범양건영,76979144200,002410
397,베트남개발1,43369266465,096300
398,벽산,124093600000,007210
399,보락,83560500000,002760
400,보령,660797800000,003850
401,보해양조,85697999464,000890
402,부광약품,505258278390,003000
403,부국증권,226582009100,001270
404,부국증권우,57750000000,001275
405,부국철강,62800000000,026940
406,부산산업,68323200000,011390
407,부산주공,52363013384,005030
408,비비안,37838367300,002070
409,비상교육,75900967440,100220
410,비케이탑스,19208323080,030790
411,빙그레,380257902600,005180
412,사조대림,229111675000,003960
413,사조동아원,150318999000,008040
414,사조산업,208500000000,007160
415,사조씨푸드,80410595810,014710
416,사조오양,71330134230,006090
417,삼부토건,263681091875,001470
418,삼성SDI,41946363300000,006400
419,삼성SDI우,466762996000,006405
420,삼성공조,82075771400,006660
421,삼성물산,20183804748000,028260
422,삼성물산우B,159650392500,02826K
423,삼성바이오로직스,58362680000000,207940
424,삼성생명,13020000000000,032830
425,삼성에스디에스,9091891500000,018260
426,삼성엔지니어링,4606000000000,028050
427,삼성전기,8739162432000,009150
428,삼성전기우,177616722400,009155
429,삼성전자,333113866290000,005930
430,삼성전자우,41555778350000,005935
431,삼성제약,184024096460,001360
432,삼성중공업,4664000000000,010140
433,삼성중공우,21533437500,010145
434,삼성증권,2795090000000,016360
435,삼성출판사,246000000000,068290
436,삼성카드,3504731452750,029780
437,삼성화재,8882781937500,000810
438,삼성화재우,496356000000,000815
439,삼아알미늄,287650000000,006110
440,삼양사,366127439500,145990
441,삼양사우,11379652500,145995
442,삼양식품,787200067500,003230
443,삼양통상,152700000000,002170
444,삼양패키징,260513071500,272550
445,삼양홀딩스,534410510400,000070
446,삼양홀딩스우,17392117600,000075
447,삼영무역,230836850000,002810
448,삼영전자,190000000000,005680
449,삼영화학,81090000000,003720
450,삼원강재,99800000000,023000
451,삼익THK,237300000000,004380
452,삼익악기,105468515975,002450
453,삼일씨엔에스,79574668750,004440
454,삼일제약,105091617150,000520
455,삼정펄프,62499275000,009770
456,삼진제약,339855000000,005500
457,삼천리,1119186900000,004690
458,삼호개발,95375000000,010960
459,삼화왕관,71094507000,004450
460,삼화전기,94246935000,009470
461,삼화전자,28759335000,011230
462,삼화콘덴서,314968500000,001820
463,삼화페인트,163220814000,000390
464,상상인증권,94361631520,001290
465,상신브레이크,56040484500,041650
466,새론오토모티브,94368000000,075180
467,샘표,149541600000,007540
468,샘표식품,141845280300,248170
469,서연,121625591920,007860
470,서연이화,176765977980,200880
471,서울가스,1505000000000,017390
472,서울식품,82820978539,004410
473,서울식품우,6439927500,004415
474,서원,55307897350,021050
475,서흥,363848603850,008490
476,선도전기,54000000000,007610
477,선진,190950220120,136490
478,성문전자,29620022640,014910
479,성문전자우,4818000000,014915
480,성보화학,57757700000,003080
481,성신양회,193922137430,004980
482,성신양회우,8276006250,004985
483,성안,55038408480,011300
484,성창기업지주,126250396000,000180
485,세기상사,38851706320,002420
486,세방,297353826000,004360
487,세방우,26636385000,004365
488,세방전지,515900000000,004490
489,세아베스틸지주,616828446800,001430
490,세아제강,399918300000,306200
491,세아제강지주,604681922000,003030
492,세아특수강,150832000000,019440
493,세아홀딩스,378800000000,058650
494,세우글로벌,36742439680,013000
495,세원이앤씨,165723139638,091090
496,세원정공,80900000000,021820
497,세이브존I&C,105064691200,067830
498,세종공업,125194324500,033530
499,세진중공업,330295339360,075580
500,세하,63607111685,027970
501,센트랄모텍,111930000000,308170
502,센트럴인사이트,45159499050,012600
503,셀트리온,23160261957000,068270
504,솔루스첨단소재,1037535812250,336370
505,솔루스첨단소재1우,67472647620,33637K
506,솔루스첨단소재2우B,18024399000,33637L
507,솔루엠,885098252700,248070
508,송원산업,400800000000,004430
509,수산인더스트리,367864500000,126720
510,수산중공업,136042610760,017550
511,스카이라이프,379706410040,053210
512,스틱인베스트먼트,230897089500,026890
513,시디즈,79100000000,134790
514,신대양제지,330442124000,016590
515,신도리코,325584936700,029530
516,신라교역,174400000000,004970
517,신성이엔지,392140727655,011930
518,신성통상,326218045300,005390
519,신세계,2215165725000,004170
520,신세계 I&C,209840000000,035510
521,신세계건설,75400000000,034300
522,신세계인터내셔날,885360000000,031430
523,신세계푸드,188977024000,031440
524,신송홀딩스,99953850100,006880
525,신영와코루,102600000000,005800
526,신영증권,520936153500,001720
527,신영증권우,402064491000,001725
528,신원,152340738660,009270
529,신일전자,122912211330,002700
530,신풍제약,1049102802000,019170
531,신풍제약우,66330000000,019175
532,신풍제지,44047962000,002870
533,신한서부티엔디리츠,209275006160,404990
534,신한알파리츠,529361981910,293940
535,신한지주,17927047878450,055550
536,신흥,138225000000,004080
537,쌍방울,104774259471,102280
538,쌍용C&E,2942540034800,003410
539,쌍용차,415056805540,003620
540,써니전자,79272400025,004770
541,쎌마테라퓨틱스,157390672070,015540
542,쏘카,633241366200,403550
543,씨아이테크,34364729644,004920
544,씨에스윈드,2618844126300,112610
545,아남전자,131883442200,008700
546,아모레G,1999610865000,002790
547,아모레G3우(전환),144680880000,00279K
548,아모레G우,70559281500,002795
549,아모레퍼시픽,5825878796400,090430
550,아모레퍼시픽우,401197540000,090435
551,아세아,231153032000,002030
552,아세아시멘트,363089398800,183190
553,아세아제지,321090596700,002310
554,아센디오,70687074088,012170
555,아시아나IDT,120990000000,267850
556,아시아나항공,878058815200,020560
557,아이마켓코리아,352674262000,122900
558,아이에스동서,937590592100,010780
559,아주스틸,240714919900,139990
560,알루코,203330916320,001780
561,애경산업,297111768750,018250
562,애경케미칼,470919503120,161000
563,에넥스,55312293002,011090
564,에스디바이오센서,2731527286850,137310
565,에스엘,1319137968000,005850
566,에스엠벡셀,193021803600,010580
567,에스원,2116554214600,012750
568,에쓰씨엔지니어링,45311564750,023960
569,에어부산,261273600000,298690
570,에이리츠,18276116040,140910
571,에이블씨엔씨,122596736565,078520
572,에이엔피,61000419900,015260
573,에이프로젠,681834108032,007460
574,에이프로젠제약,208455186286,003060
575,에이플러스에셋,110777695700,244920
576,엔씨소프트,7398505414000,036570
577,엔에이치스팩19호,105144500000,380440
578,엔케이,71905033448,085310
579,엘브이엠씨홀딩스,255600113290,900140
580,엠씨넥스,486297650600,097520
581,영보화학,67000000000,014440
582,영원무역,1869943949600,111770
583,영원무역홀딩스,698142310400,009970
584,영진약품,468205391360,003520
585,영풍,1201010080000,000670
586,영풍제지,158286000000,006740
587,영화금속,47200742420,012280
588,영흥,65041258824,012160
589,예스코홀딩스,188400000000,015360
590,오뚜기,1619343621000,007310
591,오리엔트바이오,73284297090,002630
592,오리온,3823143964400,271560
593,오리온홀딩스,920887703400,001800
594,와이투솔루션,95382146563,011690
595,용평리조트,150175998960,070960
596,우리금융지주,8263487231150,316140
597,우리종금,626803842102,010050
598,우성,61336500000,006980
599,우신시스템,42580175550,017370
600,우진,170921593740,105840
601,우진아이엔에스,38948420000,010400
602,우진플라임,73300000000,049800
603,웅진,87120517200,016880
604,웅진씽크빅,257000816625,095720
605,원림,48142471500,005820
606,웰바이오텍,91011982480,010600
607,윌비스,48678892236,008600
608,유나이티드제약,345202467500,033270
609,유니드,813420634500,014830
610,유니온,79463140710,000910
611,유니온머티리얼,117600000000,047400
612,유니켐,78025877670,011330
613,유니퀘스트,222677636500,077500
614,유성기업,68371662500,002920
615,유수홀딩스,158073798840,000700
616,유안타증권,503981354400,003470
617,유안타증권우,35056655580,003475
618,유엔젤,36089566690,072130
619,유유제약,100636929840,000220
620,유유제약1우,17115321500,000225
621,유유제약2우B,4655508000,000227
622,유진투자증권,228120414390,001200
623,유한양행,4020408032400,000100
624,유한양행우,62944102000,000105
625,유화증권,130699066575,003460
626,유화증권우,43691062500,003465
627,율촌화학,715480000000,008730
628,이건산업,77763708500,008250
629,이구산업,86614780000,025820
630,이노션,814000000000,214320
631,이리츠코크렙,324942356700,088260
632,이마트,2430771416800,139480
633,이수페타시스,328881378800,007660
634,이수화학,637477603200,005950
635,이스타코,37323743600,015020
636,이아이디,104919950900,093230
637,이엔플러스,227210716950,074610
638,이연제약,325774243700,102460
639,이월드,212709289500,084680
640,이지스레지던스리츠,115561364275,350520
641,이지스밸류리츠,152860593600,334890
642,이화산업,43120000000,000760
643,인디에프,38538582275,014990
644,인바이오젠,41542725960,101140
645,인스코비,165932898870,006490
646,인지컨트롤스,142138884510,023800
647,인천도시가스,114399817100,034590
648,인터지스,76452036180,129260
649,인팩,62600000000,023810
650,일동제약,765233786750,249420
651,일동홀딩스,293126160000,000230
652,일성건설,119665109200,013360
653,일성신약,268660000000,003120
654,일신방직,236880000000,003200
655,일신석재,87525969300,007110
656,일양약품,322547721600,007570
657,일양약품우,8768076000,007575
658,일정실업,26280000000,008500
659,일진다이아,215885220000,081000
660,일진디스플,62331626610,020760
661,일진머티리얼즈,2513040507500,020150
662,일진전기,160187284800,103590
663,일진하이솔루스,1067607786000,271940
664,일진홀딩스,199857306150,015860
665,잇츠한불,327843259250,226320
666,자이에스앤디,236573372000,317400
667,자화전자,406204733250,033240
668,전방,117600000000,000950
669,제이알글로벌리츠,856611840000,348950
670,제이에스코퍼레이션,194032994550,194370
671,제이준코스메틱,31101040696,025620
672,제일기획,2628691991250,030000
673,제일약품,244836118800,271980
674,제일연마,78800000000,001560
675,제일파마홀딩스,151587138950,002620
676,제주은행,275022305440,006220
677,제주항공,587164082400,089590
678,조광페인트,92416000000,004910
679,조광피혁,307522632500,004700
680,조비,76845137200,001550
681,조선내화,308000000000,000480
682,조선선재,131424529500,120030
683,조일알미늄,289412958300,018470
684,조흥,109200000000,002600
685,종근당,896705242400,185750
686,종근당바이오,112462221000,063160
687,종근당홀딩스,248739598650,001630
688,주연테크,34749956228,044380
689,지누스,559192385950,013890
690,지엠비코리아,83918032000,013870
691,지역난방공사,339836136400,071320
692,지투알,96422320380,035000
693,진도,29936824320,088790
694,진양산업,88270000000,003780
695,진양폴리,57900000000,010640
696,진양홀딩스,171319069980,100250
697,진양화학,58460000000,051630
698,진에어,759510000000,272450
699,진원생명과학,789178729850,011000
700,진흥기업,181839681250,002780
701,진흥기업2우B,3773542400,002787
702,진흥기업우B,4196082110,002785
703,참엔지니어링,47211670038,009310
704,천일고속,85181512000,000650
705,체시스,29664000000,033250
706,초록뱀헬스케어,45571281930,118000
707,카카오,22199284800850,035720
708,카카오뱅크,8460208006750,323410
709,카카오페이,4801239195400,377300
710,카프로,88600000000,006380
711,컨버즈,150921943000,109070
712,케이비아이동국실업,53946882608,001620
713,케이씨,200599851200,029460
714,케이씨텍,304578717600,281820
715,케이카,610698969100,381970
716,케이탑리츠,43975608210,145270
717,코람코더원리츠,165438000000,417310
718,코람코에너지리츠,403274529070,357120
719,코리아써우,20486007900,007815
720,코리아써키트,335414664200,007810
721,코리아써키트2우B,6724137420,00781K
722,코리안리,885916693760,003690
723,코스맥스,494271116950,192820
724,코스맥스비티아이,70588819350,044820
725,코스모신소재,1679661428800,005070
726,코스모화학,817442123800,005420
727,코아스,22778613770,071950
728,코오롱,333337646400,002020
729,코오롱글로벌,347904044400,003070
730,코오롱글로벌우,8633362800,003075
731,코오롱우,20612868500,002025
732,코오롱인더,1194328549400,120110
733,코오롱인더우,67258998000,120115
734,코오롱플라스틱,361380000000,138490
735,코웨이,3970419502200,021240
736,콘텐트리중앙,464221622800,036420
737,콤텍시스템,73115085464,031820
738,쿠쿠홀딩스,588554161750,192400
739,쿠쿠홈시스,642829504500,284740
740,큐로,73525300884,015590
741,크라운제과,101818900500,264900
742,크라운제과우,8161058000,26490K
743,크라운해태홀딩스,89381028940,005740
744,크라운해태홀딩스우,6127405200,005745
745,크래프톤,8857504122500,259960
746,키다리스튜디오,234244742400,020120
747,키움증권,1966463475000,039490
748,태경비케이,157499501000,014580
749,태경산업,202847525000,015890
750,태경케미컬,129920000000,006890
751,태광산업,798307800000,003240
752,태림포장,173828582700,011280
753,태양금속,39636000000,004100
754,태양금속우,6418500000,004105
755,태영건설,180491814720,009410
756,태영건설우,10026493400,009415
757,태원물산,30476000000,001420
758,태평양물산,62112967230,007980
759,테이팩스,310893135000,055490
760,텔코웨어,83734352780,078000
761,토니모리,84793166475,214420
762,티에이치엔,67770000000,019180
763,티와이홀딩스,583140118600,363280
764,티와이홀딩스우,15880025700,36328K
765,티웨이항공,253321840820,091810
766,티웨이홀딩스,48058281313,004870
767,파미셀,544427266000,005690
768,팜스코,147279051430,036580
769,팜젠사이언스,95460266700,004720
770,팬오션,2392198566200,028670
771,퍼스텍,137215468300,010820
772,퍼시스,314525000000,016800
773,페이퍼코리아,57793674150,001020
774,평화산업,67529778570,090080
775,평화홀딩스,42852615380,010770
776,포스코스틸리온,162300000000,058430
777,포스코인터내셔널,2732759550350,047050
778,포스코케미칼,12549041640000,003670
779,풀무원,405983772300,017810
780,풍산,751050650400,103140
781,풍산홀딩스,272729633600,005810
782,프레스티지바이오파마,457331739550,950210
783,플레이그램,88371310010,009810
784,하나금융지주,11051994828600,086790
785,하나제약,252375833200,293480
786,하나투어,826018027500,039130
787,하이브,4734962811500,352820
788,하이스틸,77838120705,071090
789,하이트론,23739723280,019490
790,하이트진로,1763860316650,000080
791,하이트진로2우B,18929811500,000087
792,하이트진로홀딩스,233227988250,000140
793,하이트진로홀딩스우,5955746500,000145
794,한국ANKOR유전,117983700000,152550
795,한국가스공사,3189414150000,036460
796,한국공항,113672144500,005430
797,한국금융지주,2716642110000,071050
798,한국금융지주우,256005568700,071055
799,한국내화,111086402710,010040
800,한국단자,575949500000,025540
801,한국석유,146617086000,004090
802,한국수출포장,96800000000,002200
803,한국쉘석유,317200000000,002960
804,한국앤컴퍼니,1139222880000,000240
805,한국자산신탁,376892366080,123890
806,한국전력,11651647997550,015760
807,한국전자홀딩스,55227700480,006200
808,한국조선해양,5470761866800,009540
809,한국종합기술,76321500000,023350
810,한국주강,29630258580,025890
811,한국주철관,154359385000,000970
812,한국철강,245785500000,104700
813,한국카본,501152629800,017960
814,한국콜마,773383884000,161890
815,한국콜마홀딩스,265647081700,024720
816,한국타이어앤테크놀로지,4248914866700,161390
817,한국토지신탁,343385352800,034830
818,한국특강,133297115600,007280
819,한국패러랠,165641400000,168490
820,한국프랜지,69122453400,010100
821,한국항공우주,4327894750800,047810
822,한국화장품,101549760000,123690
823,한국화장품제조,89733600000,003350
824,한농화성,197808581300,011500
825,한독,198194875200,002390
826,한미글로벌,326534990000,053690
827,한미반도체,1182091060300,042700
828,한미사이언스,2044985783200,008930
829,한미약품,2820815359000,128940
830,한샘,942533816400,009240
831,한섬,602203500000,020000
832,한성기업,31916907100,003680
833,한세실업,584000000000,105630
834,한세엠케이,79330632770,069640
835,한세예스24홀딩스,168000000000,016450
836,한솔PNS,32071563780,010420
837,한솔로지스틱스,68144014000,009180
